,lon,lat,weather_id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,all,dt,type,sys_id,country,sunrise_timestamp,sunset_timestamp,timezone,city_id,city_name,cod,Datetime,Date,sunrise_time,sunset_time
0,-74.006,40.7143,800,Clear,clear sky,01n,stations,280.5,276.64,276.39,282.13,1014,65,10000,7.15,274,0,1666246869,2,2039034,US,20-10-2022 11:12,20-10-2022 22:08,-14400,5128581,New York,200,20-10-2022 06:21,20-10-2022,11:12:27,22:08:50
1,-118.2437,34.0522,800,Clear,clear sky,01n,stations,297.44,297,293.68,300.62,1019,41,10000,2.06,340,0,1666246930,1,3694,US,19-10-2022 14:01,20-10-2022 01:14,-25200,5368361,Los Angeles,200,20-10-2022 06:22,20-10-2022,14:01:14,01:14:15
2,-87.65,41.85,803,Clouds,broken clouds,04n,stations,275.26,270.8,272.38,276.19,1012,51,10000,5.14,250,75,1666247073,2,2011010,US,20-10-2022 12:08,20-10-2022 23:01,-18000,4887398,Chicago,200,20-10-2022 06:24,20-10-2022,12:08:29,23:01:56
3,-95.3633,29.7633,800,Clear,clear sky,01n,stations,284.95,283.67,281.52,286.98,1021,57,10000,2.57,210,0,1666246998,2,2006306,US,20-10-2022 12:26,20-10-2022 23:45,-18000,4699066,Houston,200,20-10-2022 06:23,20-10-2022,12:26:17,23:45:51
4,-112.074,33.4484,801,Clouds,few clouds,02n,stations,297.18,296.4,295.14,299.85,1016,29,10000,3.6,40,20,1666246942,1,5347,US,19-10-2022 13:35,20-10-2022 00:50,-25200,5308655,Phoenix,200,20-10-2022 06:22,20-10-2022,13:35:57,00:50:11
5,-75.1638,39.9523,800,Clear,clear sky,01n,stations,278.62,275.82,275.6,280.86,1014,73,10000,3.6,240,0,1666246972,2,2037403,US,20-10-2022 11:16,20-10-2022 22:14,-14400,4560349,Philadelphia,200,20-10-2022 06:22,20-10-2022,11:16:10,22:14:23
6,-98.4936,29.4241,800,Clear,clear sky,01n,stations,286.48,285.49,284.87,288.8,1022,62,10000,0,0,0,1666247188,2,2003611,US,20-10-2022 12:38,20-10-2022 23:58,-18000,4726206,San Antonio,200,20-10-2022 06:26,20-10-2022,12:38:29,23:58:40
7,-117.1573,32.7153,801,Clouds,few clouds,02n,stations,296.27,295.97,293.75,300.13,1015,51,10000,2.06,30,20,1666247259,2,2005032,US,19-10-2022 13:55,20-10-2022 01:11,-25200,5391811,San Diego,200,20-10-2022 06:27,20-10-2022,13:55:35,01:11:13
8,-96.7836,32.7668,800,Clear,clear sky,01n,stations,285.09,283.54,282.67,287.95,1019,46,10000,4.63,190,0,1666246976,2,2044133,US,20-10-2022 12:34,20-10-2022 23:48,-18000,4684904,Dallas,200,20-10-2022 06:22,20-10-2022,12:34:52,23:48:37
9,-121.895,37.3394,800,Clear,clear sky,01n,stations,294.66,293.86,289.1,297.18,1015,38,10000,0,0,0,1666247294,1,5845,US,19-10-2022 14:19,20-10-2022 01:25,-25200,5392171,San Jose,200,20-10-2022 06:28,20-10-2022,14:19:15,01:25:27
