State ,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1970,1239.71,2852.73,935.55,2961.36,783.89,2802.43,707.1,787.58,1219.89,1162.93,2565.73,1849.41,1214.15,1980.53,3184.99,2175.79,2317.25,1607.24,800.48,513.07,3345.45,928.61,2285.28,1883.82,323.87,620.82,1328.48,1548.37,1849.87,1210.21,2592.04,1199.31,1473.11,1504.14,3954.58,1506.77,808.86,1693.96,1517.23,720.35,1429.3,1219.1,1537.26,1170.17,1659.16
1971,1251.32,2277.76,702.97,2948.61,872.49,2185.05,559.61,685.42,1396.11,869.9,2334.13,1558.4,916.29,2287.07,3114.34,2264.9,2719.91,1709.93,803.22,474.58,3701.36,889.34,2682.84,2324.54,377.49,604.41,1291.77,1597.12,1932.36,1213.23,2777.98,1333.72,1615.63,1500.19,3574.39,1840.39,943.41,1710.56,1352.24,836.89,1872.02,1447.87,1492.04,1450.27,2083.42
1972,1004.62,2264.49,657.45,3074.74,751.55,2188.47,288.71,647.93,1379.43,958.23,2407.61,1325.46,742.24,1862.39,3007.94,1675.88,2250.22,1259.39,724.66,349.74,3803.03,1028.88,1863.03,1574.99,503.96,1034.5,1875.87,2190.92,2535.59,1822.19,3349.7,1249.12,1704.31,1832.73,3431.52,1127.82,794.76,1283.28,844.04,436.49,1068.67,916.2,1461.91,945.79,1624.51
1973,1281.69,2518.62,744.35,3337.63,765.86,2948.01,639.89,751.76,1535.38,1060.73,2260.9,1354.88,1271.08,2365.45,3619.23,2469.9,2810.63,1454.48,985.54,555.8,3789.27,862.39,2828.96,2140.05,462.32,902.08,1724.74,2120.49,2457.07,1747.05,3403.14,1995.77,1996.13,2134.95,3839.01,1750.96,1230.13,1372.37,1690.79,556.39,1384.19,1332.43,1405.86,1327.52,2108.11
1974,1030.8,2493.87,756.2,3395.71,552.5,2797.7,230.78,551.05,1286.05,1059.81,2082,1378.89,941.02,2240.31,3671.1,2171.59,2847.07,1050.23,594.07,352.29,3446.02,590.55,2527.41,1981.14,430.5,791.07,1464.9,1752.63,2040.69,1415.45,2710.26,1022.31,1311.3,1438.73,4082.81,1545.73,966.12,1036.3,926.17,292.41,1051.87,934.14,1180.63,933.14,1584.65
1975,1288.08,2474.78,1067.16,2859.05,828.05,3092.27,639.25,831.9,1660.12,1208.1,2617.01,2074.77,1187.91,2286.6,3000.56,2066.77,2709.56,1388.92,1036.53,645.57,3479,963.87,2233.2,1676.85,477.38,885.55,1681.11,2018.82,2367.03,1644.16,3233.3,1830.21,2229.85,1827.09,3779.45,1404.5,1005.91,1633.48,1219.52,1023.84,1290.5,1289.27,1575.35,1334.64,2176.75
1976,1107.62,2065.59,825.2,2836.15,883.93,2499.54,700.35,850.61,1425.9,865.93,2089.97,1534.05,1032.86,1967.69,2877.27,2082.03,2416.77,1261.43,918.91,538.63,3230.71,810.51,2250.19,1542.78,458.87,814.21,1632.6,1879.08,2177.48,1538.95,2933.03,1545.14,1776.64,1801.67,3794.27,1223.68,1075.87,1228.36,1317.84,860.1,1080.04,1100.68,1249.02,1075.5,1793.66
1977,1096.43,1772.09,621.81,3126.36,735.82,2845.17,631.28,809.16,1373.33,924.69,2121.65,1471.03,968.26,2017,3094.39,2015.75,2531.01,1333.99,964.3,487.29,3267.77,931.35,2264.71,1556.86,391.7,712.9,1468.68,1803.42,2110.05,1441.13,2913,1586.8,1871.05,1730.61,4336.92,1168.35,1151.88,1300.46,1144.05,897.31,1205.75,1192.64,1359.95,949.64,1597.76
1978,1113.85,1950.09,851.92,2549.35,782.93,2833.03,605.42,801.95,1506.49,1058.38,2409.35,1639.43,1034.08,1900.4,2689.38,1903.04,2227.32,1147.8,899.6,483.97,2937.14,799.39,2034.2,1577.05,431.86,773.85,1579.44,1806.7,2089.06,1497.37,2811.05,1719.88,1934.93,1781.77,3031.48,1277.44,1087.71,1326.77,1054.18,637.66,1298.38,1145.01,1345.79,1138.47,1806.74
1979,962.72,1517.54,840.51,2378.52,466.32,2410.65,701.36,504.93,1169.9,1045.71,2263.42,1575.32,1049.99,1849.28,2646.72,1741.11,2054.16,979.13,721.73,371.17,3209.96,977.17,1822.22,1418.01,380.48,742.74,1359.99,1707.95,1973.92,1430.16,2668.35,1234.84,1476.59,1534.18,3199.1,1048.78,836.19,890.17,1306.46,830.29,778.19,802.01,1423.73,739.01,1453.94
1980,1148.65,2052.98,816.62,2888.49,637.63,3700.14,609.45,602.51,1202.41,1269.19,2396.2,1297.11,1141.68,2271.32,3010.56,1962.46,2733.33,1420.87,784.11,304.4,2990.57,773.77,2232.24,1542.62,449.9,774.39,1592.2,1821.8,2185.22,1404.91,2988.27,1320.84,1485.1,1657.65,3642.94,1206.64,801.31,1583.78,1422.29,1047.8,1172.14,1214.72,1416.64,1169.87,1591.55
1981,1030.89,2072.9,784.48,2183.93,576.86,3185.77,648.16,556.8,1326.53,1188.85,2421.89,1510.69,1030.11,1609.07,2399.87,1638.62,1922.05,1388.77,817.25,315.17,3030.88,979.82,1876.81,1575.21,403.81,747.29,1648.07,1911.79,2274.25,1389.34,3113.95,1525.82,1659.83,1697.61,2749.56,1125.87,881.43,1262.61,1113.89,1000.52,1092.87,853.35,1426.37,944.83,1625.63
1982,983.63,2011.33,654.58,2727.23,648.69,2945.42,530.73,722.9,1400.24,1004.61,1884.67,1312.04,904.92,1858.45,2676.31,1589.16,2334.2,1059.63,855.3,386.86,3156.86,646.81,1677.08,1254.35,435.3,873.69,1676.52,1899.24,2164.78,1626.18,2807.97,1394.56,1728.16,1749.71,3558.75,938.34,919.83,1242.02,1072.76,944.65,877.62,1029.99,1158.16,923.07,1648.8
1983,1237.09,2240.52,990.05,3204.63,1114.51,3229.34,773.38,962.98,1396.41,1247.22,2276.21,1549.81,1253.93,2301.68,3417.15,2344.89,2756.24,1423.57,1063.36,538.65,3360.44,969.34,3122.92,1721.47,410.09,810.82,1605.22,1939.33,2210.28,1556.35,2923.44,1543.95,1671.45,1785.82,3874.42,1172.33,1138.1,1441.11,1531.59,1151.96,1057.57,1014.11,1618.33,1264.54,1896.52
1984,1090.95,2061.8,728.88,3235.13,611.84,2338.47,529.82,549.35,1344.6,1011.83,2383.06,1629.15,828,2123.69,3360.48,1999.81,2598.02,1443.89,806.31,310.37,3268.9,1155.63,2243.97,1959.29,496.75,903.32,1657.58,1902.84,2199.63,1563.58,2898.35,1356.85,1624.49,1681.23,4439.71,1386.72,913.43,1322.38,1086.38,394.5,1507.6,900.55,1843.01,966.65,1615.02
1985,1019.03,2115.39,717.71,2717.16,711.02,2393.02,367.16,575.82,1272.66,822.77,2101.41,1354.03,841,2164.48,2713.53,1797.23,2451.54,1549.16,700.62,345.55,3442.99,839.71,1946.63,1591.42,412.2,768.56,1458.47,1676.14,1921.38,1389.53,2536.84,1416.3,1550.22,1625.56,3709.36,1243.75,772.38,1362.28,916.42,518.78,1071.62,906.46,1384.61,1060.05,1766.05
1986,1068.18,1913.18,774.79,2849.43,670.51,2319.27,251.16,618.29,1417.78,908.69,1850.76,1186.46,1042.88,2026.96,3179.93,1776.04,2493.75,1462.37,813.52,328.62,3182,827.91,2170.08,1842.84,484.24,935.33,1804.48,1984.49,2265.16,1664.83,2907.78,1482.08,1670.63,1810.39,3406.73,1315.66,952.65,1462.91,904.18,381.36,1252.09,1060.93,1272.76,919.9,1649.82
1987,901.82,2017.8,794.74,2903.88,275.42,2098.58,204.4,297.43,1030.51,883.71,1897.78,1374.29,802.06,1907.61,3112.53,1668.16,2262.47,1176.92,529.6,173.73,3403.99,832.61,1822.77,1592.29,445.43,960.88,1619.5,1799.57,2105.92,1483.42,2745.34,1020.04,1292.87,1525.52,3581.45,1350.17,526.28,1094.55,860.34,447.04,1100.76,754.74,1251.95,631.69,1209.13
1988,1242.05,2674.8,939.77,3672.78,739.89,2500.71,845.83,751.48,1817.31,1077.7,2413.73,1555.76,1182.6,2011.61,4219.2,1806.21,2786.92,1292.93,1243.75,461.68,3458.54,1007.83,2199.93,1942.92,559.66,1134.7,1688.57,2226.79,2414.37,2158.53,3100.95,2299.62,2676.04,2062.36,5178.09,1310.46,1260.82,1299.19,1469.44,865.24,1157.46,1049.61,1500.73,1132.08,2101.39
1989,1146.08,2203.35,1030.6,3027.34,594.79,2320.22,614.69,511.85,1299.69,1059.9,2478.96,1486.97,1263.43,2060.75,3173.3,1893.96,2543.17,1541.81,610.21,327.4,3782.78,1010,2066.13,1870.04,415.99,896.26,1607.65,1851.19,2119.88,1571.56,2741.8,1351.97,1602.72,1609.84,4102.38,1380.03,758.02,1342.61,1412.91,863.97,1242.22,892.03,1481.96,948.38,1664.87
1990,1438.07,1912.7,1406.69,3530.68,773.27,2859.09,777.4,699.65,1617.78,1115.17,2291.4,1291.82,1408.2,2222.59,3614.93,2212.71,2790.11,2133.78,953.88,620.63,3729.53,985.78,2447.36,2196.78,472.53,930.49,1803.6,2123.06,2441.2,1826.7,3279.72,1803.59,1988.28,2049.47,4547.31,1575.66,1096.43,1949.16,1750.95,524.6,1492.44,1332.85,1539.21,1307.95,2041.03
1991,1142.66,2081.78,969.2,3429.53,466.66,2828.87,350.13,471.54,1201.73,1251,2632.47,1457.07,1095.54,2150.15,3762.81,2070.42,2777.19,1558.54,691.73,318.5,3461.02,1049.79,2396.71,1847.26,390.37,834.87,1731.4,2011.99,2349.94,1530.9,3143.98,1577.37,1662.22,1792.98,4309.91,1110.72,728.45,1386.9,1404.4,566.44,1260.09,1009.92,1577.91,893.61,1518.07
